"nftId","uri","image","metadata"
"craftyourworld-0036","https://craftyourworld-book-nft.s3.amazonaws.com/webp/36.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-4-4-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0036"",""fileName"":""Craftyourworld-cover-0-4-4-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeigi32p7oixi33z5y6n2divrfxjvxwfsed47uohgkh6hnpca4iduzm"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Tea Green"",""backdrop"":""World"",""signature"":""None""}}"
"craftyourworld-0037","https://craftyourworld-book-nft.s3.amazonaws.com/webp/37.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-4-2-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0037"",""fileName"":""Craftyourworld-cover-2-4-2-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeifwwkmqcqbzmpgeb6te276yofhonr4uv4luh3s6kfvixergtok3yq"",""attributes"":{""icon"":""Jet"",""bgColor"":""Tea Green"",""backdrop"":""Hong Kong 2"",""signature"":""None""}}"
"craftyourworld-0038","https://craftyourworld-book-nft.s3.amazonaws.com/webp/38.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-0-1-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0038"",""fileName"":""Craftyourworld-cover-2-0-1-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihtok3ixd7msx3lbxyoksdbzaljh3egcf5ulipmlih3ppsb72i4fq"",""attributes"":{""icon"":""Jet"",""bgColor"":""Aureolin"",""backdrop"":""Hong Kong 1"",""signature"":""None""}}"
"craftyourworld-0039","https://craftyourworld-book-nft.s3.amazonaws.com/webp/39.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-4-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0039"",""fileName"":""Craftyourworld-cover-3-4-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeigwirwr7vcynhirt5sgu7iipxuct6zosxjqm7cjiahrn7mzu6bpcy"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Tea Green"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0040","https://craftyourworld-book-nft.s3.amazonaws.com/webp/40.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-1-2-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0040"",""fileName"":""Craftyourworld-cover-1-2-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeicd2ds3ptjwxo5gs57u5ac2n2vwblrgi6eboldzgp6dj2nvvpckwq"",""attributes"":{""icon"":""Formular1"",""bgColor"":""Pale Azure"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0041","https://craftyourworld-book-nft.s3.amazonaws.com/webp/41.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-1-3-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0041"",""fileName"":""Craftyourworld-cover-1-3-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeib6xzj6xtphe3vn7kcrn75duzbncwtak6clbrf36nsjj5nu7gr4ke"",""attributes"":{""icon"":""Formular1"",""bgColor"":""Tea Rose"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0042","https://craftyourworld-book-nft.s3.amazonaws.com/webp/42.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-2-3-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0042"",""fileName"":""Craftyourworld-cover-2-3-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeihjwsir2dzc6m2dzortuwfdev6o7kaun2z6dutp7h2fo6lju5r2cu"",""attributes"":{""icon"":""Jet"",""bgColor"":""Tea Rose"",""backdrop"":""None"",""signature"":""None""}}"
"craftyourworld-0043","https://craftyourworld-book-nft.s3.amazonaws.com/webp/43.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-0-3-0-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0043"",""fileName"":""Craftyourworld-cover-0-3-0-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeiaciqag22rlfndrt2imlc4aql53onu2yzsl5q4kpkzrjbnctf4s5u"",""attributes"":{""icon"":""Paper Plane"",""bgColor"":""Tea Rose"",""backdrop"":""None"",""signature"":""None""}}"
"craftyourworld-0044","https://craftyourworld-book-nft.s3.amazonaws.com/webp/44.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-4-4-6-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0044"",""fileName"":""Craftyourworld-cover-4-4-6-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeigc5mzf3maltj7z5i5vy5ifltx7ws37v36lpbsdoulld7kp2qgmsa"",""attributes"":{""icon"":""Rocket"",""bgColor"":""Tea Green"",""backdrop"":""Arrow"",""signature"":""None""}}"
"craftyourworld-0045","https://craftyourworld-book-nft.s3.amazonaws.com/webp/45.json","https://craftyourworld-book-nft.s3.amazonaws.com/webp/Craftyourworld-cover-3-4-2-0.webp","{""name"":""Craft your world: Create a life worth living through entrepreneurship"",""description"":""#0045"",""fileName"":""Craftyourworld-cover-3-4-2-0"",""ipfs_hash"":""https://ipfs.io/ipfs/bafybeigiqwbz5q22rnwj2jgtc6tnvkcri4gklqxumdjgcaxgurrxdgnz7y"",""attributes"":{""icon"":""Cessna"",""bgColor"":""Tea Green"",""backdrop"":""Hong Kong 2"",""signature"":""None""}}"
